name,testament,total_chapters
창세기,OT,50
출애굽기,OT,40
레위기,OT,27
민수기,OT,36
신명기,OT,34
여호수아,OT,24
사사기,OT,21
룻기,OT,4
사무엘상,OT,31
사무엘하,OT,24
열왕기상,OT,22
열왕기하,OT,25
역대상,OT,29
역대하,OT,36
에스라,OT,10
느헤미야,OT,13
에스더,OT,10
욥기,OT,42
시편,OT,150
잠언,OT,31
전도서,OT,12
아가,OT,8
이사야,OT,66
예레미야,OT,52
예레미야애가,OT,5
에스겔,OT,48
다니엘,OT,12
호세아,OT,14
요엘,OT,3
아모스,OT,9
오바댜,OT,1
요나,OT,4
미가,OT,7
나훔,OT,3
하박국,OT,3
스바냐,OT,3
학개,OT,2
스가랴,OT,14
말라기,OT,4
마태복음,NT,28
마가복음,NT,16
누가복음,NT,24
요한복음,NT,21
사도행전,NT,28
로마서,NT,16
고린도전서,NT,16
고린도후서,NT,13
갈라디아서,NT,6
에베소서,NT,6
빌립보서,NT,4
골로새서,NT,4
데살로니가전서,NT,5
데살로니가후서,NT,3
디모데전서,NT,6
디모데후서,NT,4
디도서,NT,3
빌레몬서,NT,1
히브리서,NT,13
야고보서,NT,5
베드로전서,NT,5
베드로후서,NT,3
요한일서,NT,5
요한이서,NT,1
요한삼서,NT,1
유다서,NT,1
요한계시록,NT,22
